Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),Wind Chill
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 22:00,2024,1,2,22:00,-2.9,-5.6,82.0,,24.0,4.0,100.6,-4.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 23:00,2024,1,2,23:00,-2.8,-5.3,83.0,,24.0,4.0,100.57,-4.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 00:00,2024,1,3,00:00,-3.2,-5.3,85.0,,23.0,5.0,100.56,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 01:00,2024,1,3,01:00,-3.1,-5.1,86.0,,23.0,7.0,100.54,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 02:00,2024,1,3,02:00,-2.3,-4.4,86.0,,25.0,6.0,100.5,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 03:00,2024,1,3,03:00,-2.8,-4.6,88.0,,23.0,5.0,100.53,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 04:00,2024,1,3,04:00,-3.6,-4.7,93.0,,,0.0,100.55,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 05:00,2024,1,3,05:00,-3.4,-3.9,96.0,,30.0,3.0,100.55,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 06:00,2024,1,3,06:00,-3.7,-4.7,93.0,,31.0,5.0,100.56,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 07:00,2024,1,3,07:00,-4.1,-6.4,84.0,,31.0,4.0,100.58,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 08:00,2024,1,3,08:00,-4.2,-6.3,85.0,,30.0,5.0,100.59,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 09:00,2024,1,3,09:00,-3.0,-6.1,79.0,,31.0,6.0,100.62,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 10:00,2024,1,3,10:00,-2.3,-5.7,78.0,,32.0,6.0,100.64,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 11:00,2024,1,3,11:00,-2.2,-5.9,76.0,,34.0,10.0,100.62,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 12:00,2024,1,3,12:00,-1.7,-5.9,73.0,,35.0,7.0,100.61,-4.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 13:00,2024,1,3,13:00,-1.2,-5.2,75.0,,33.0,5.0,100.53,-3.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 14:00,2024,1,3,14:00,-1.1,-5.1,74.0,,34.0,8.0,100.5,-4.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 15:00,2024,1,3,15:00,-0.8,-4.6,75.0,,31.0,8.0,100.51,-4.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 16:00,2024,1,3,16:00,-0.3,-5.0,71.0,,33.0,6.0,100.53,-2.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 17:00,2024,1,3,17:00,-1.0,-5.0,74.0,,,0.0,100.57,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 18:00,2024,1,3,18:00,-1.7,-5.2,77.0,,,0.0,100.63,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 19:00,2024,1,3,19:00,-2.7,-5.8,79.0,,,0.0,100.67,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 20:00,2024,1,3,20:00,-3.5,-5.9,84.0,,,0.0,100.69,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 21:00,2024,1,3,21:00,-2.7,-5.1,83.0,,,0.0,100.69,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 22:00,2024,1,3,22:00,-2.9,-5.0,85.0,,,0.0,100.67,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-03 23:00,2024,1,3,23:00,-2.8,-4.8,86.0,,23.0,3.0,100.64,-4.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 00:00,2024,1,4,00:00,-2.7,-4.7,86.0,,,0.0,100.66,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 01:00,2024,1,4,01:00,-2.3,-4.7,83.0,,,0.0,100.64,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 02:00,2024,1,4,02:00,-1.9,-4.7,82.0,,,0.0,100.66,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 03:00,2024,1,4,03:00,-1.1,-4.8,76.0,,10.0,4.0,100.62,-2.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 04:00,2024,1,4,04:00,-1.4,-4.3,81.0,,,0.0,100.58,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 05:00,2024,1,4,05:00,-1.5,-4.0,83.0,,,0.0,100.55,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 06:00,2024,1,4,06:00,-0.8,-3.4,82.0,,17.0,3.0,100.57,-2.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 07:00,2024,1,4,07:00,-0.8,-3.3,83.0,,,0.0,100.63,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 08:00,2024,1,4,08:00,-0.6,-3.3,82.0,,26.0,3.0,100.59,-2.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 09:00,2024,1,4,09:00,-0.3,-3.3,80.0,,23.0,5.0,100.57,-2.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 10:00,2024,1,4,10:00,0.0,-3.3,78.0,,24.0,3.0,100.57,-1.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 11:00,2024,1,4,11:00,0.6,-3.8,72.0,0.0,27.0,5.0,100.5,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 12:00,2024,1,4,12:00,0.9,-4.0,70.0,0.0,26.0,6.0,100.4,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 13:00,2024,1,4,13:00,1.1,-3.7,70.0,0.0,24.0,6.0,100.34,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 14:00,2024,1,4,14:00,1.1,-3.0,74.0,0.0,24.0,4.0,100.32,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 15:00,2024,1,4,15:00,0.9,-2.0,81.0,0.2,29.0,3.0,100.3,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 16:00,2024,1,4,16:00,0.7,-1.6,84.0,0.0,25.0,4.0,100.3,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 17:00,2024,1,4,17:00,0.2,-1.7,87.0,,22.0,3.0,100.24,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 18:00,2024,1,4,18:00,-0.5,-1.4,93.0,,,0.0,100.23,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 19:00,2024,1,4,19:00,-0.2,-0.9,95.0,,,0.0,100.2,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 20:00,2024,1,4,20:00,-0.4,-1.0,96.0,,,0.0,100.13,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 21:00,2024,1,4,21:00,-0.5,-1.2,95.0,,,0.0,100.08,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 22:00,2024,1,4,22:00,-0.7,-0.8,99.0,,23.0,3.0,100.04,-2.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-04 23:00,2024,1,4,23:00,-0.4,-1.0,96.0,,21.0,3.0,99.97,-1.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 00:00,2024,1,5,00:00,-0.5,-0.9,97.0,,,0.0,99.91,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 01:00,2024,1,5,01:00,-0.8,-1.1,98.0,,20.0,3.0,99.86,-2.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 02:00,2024,1,5,02:00,-0.5,-1.4,93.0,,26.0,8.0,99.84,-3.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 03:00,2024,1,5,03:00,-1.7,-4.1,84.0,,30.0,14.0,99.83,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 04:00,2024,1,5,04:00,-3.1,-6.3,78.0,,33.0,17.0,99.88,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 05:00,2024,1,5,05:00,-5.4,-9.6,72.0,,31.0,19.0,99.92,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 06:00,2024,1,5,06:00,-6.5,-10.3,75.0,,33.0,18.0,99.94,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 07:00,2024,1,5,07:00,-6.4,-10.0,76.0,,33.0,16.0,99.99,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 08:00,2024,1,5,08:00,-6.6,-10.0,76.0,,34.0,20.0,100.05,-14.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 09:00,2024,1,5,09:00,-6.3,-9.7,77.0,,34.0,19.0,100.1,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 10:00,2024,1,5,10:00,-5.7,-9.2,76.0,,33.0,18.0,100.17,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 11:00,2024,1,5,11:00,-5.4,-9.2,75.0,,33.0,23.0,100.19,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 12:00,2024,1,5,12:00,-5.8,-9.9,73.0,,34.0,19.0,100.18,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 13:00,2024,1,5,13:00,-5.8,-9.9,73.0,,34.0,21.0,100.22,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 14:00,2024,1,5,14:00,-6.1,-10.5,71.0,,32.0,15.0,100.29,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 15:00,2024,1,5,15:00,-5.9,-10.4,71.0,,33.0,13.0,100.38,-11.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 16:00,2024,1,5,16:00,-6.5,-11.2,69.0,,33.0,16.0,100.47,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 17:00,2024,1,5,17:00,-6.9,-10.5,76.0,,33.0,14.0,100.52,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 18:00,2024,1,5,18:00,-6.8,-11.1,71.0,,29.0,11.0,100.57,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 19:00,2024,1,5,19:00,-6.6,-11.4,69.0,,29.0,11.0,100.59,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 20:00,2024,1,5,20:00,-7.2,-11.5,71.0,,29.0,10.0,100.63,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 21:00,2024,1,5,21:00,-7.7,-11.7,73.0,,29.0,9.0,100.63,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 22:00,2024,1,5,22:00,-8.0,-11.7,74.0,,29.0,10.0,100.64,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-05 23:00,2024,1,5,23:00,-8.5,-11.9,77.0,,29.0,9.0,100.68,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 00:00,2024,1,6,00:00,-8.1,-12.0,73.0,,29.0,12.0,100.71,-14.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 01:00,2024,1,6,01:00,-8.1,-12.2,72.0,,30.0,10.0,100.67,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 02:00,2024,1,6,02:00,-7.7,-11.7,73.0,,30.0,10.0,100.72,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 03:00,2024,1,6,03:00,-7.9,-11.1,78.0,,30.0,11.0,100.81,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 04:00,2024,1,6,04:00,-7.9,-12.2,71.0,,31.0,12.0,100.87,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 05:00,2024,1,6,05:00,-8.4,-13.8,65.0,,33.0,18.0,100.92,-15.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 06:00,2024,1,6,06:00,-8.6,-14.9,60.0,,31.0,19.0,101.06,-16.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 07:00,2024,1,6,07:00,-9.1,-13.8,69.0,,32.0,19.0,101.19,-17.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 08:00,2024,1,6,08:00,-9.5,-14.5,67.0,,33.0,16.0,101.34,-16.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 09:00,2024,1,6,09:00,-9.8,-15.2,65.0,,33.0,14.0,101.5,-16.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 10:00,2024,1,6,10:00,-9.5,-16.1,59.0,,34.0,16.0,101.6,-16.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 11:00,2024,1,6,11:00,-8.9,-15.7,58.0,,34.0,16.0,101.6,-16.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 12:00,2024,1,6,12:00,-8.5,-15.4,57.0,,33.0,14.0,101.57,-15.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 13:00,2024,1,6,13:00,-7.4,-15.5,52.0,,34.0,13.0,101.48,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 14:00,2024,1,6,14:00,-7.1,-15.3,52.0,,33.0,14.0,101.5,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 15:00,2024,1,6,15:00,-6.5,-15.3,50.0,,33.0,13.0,101.59,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 16:00,2024,1,6,16:00,-7.2,-14.5,56.0,,31.0,11.0,101.59,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 17:00,2024,1,6,17:00,-8.1,-14.4,60.0,,32.0,11.0,101.64,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 18:00,2024,1,6,18:00,-8.5,-13.9,65.0,,31.0,6.0,101.67,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 19:00,2024,1,6,19:00,-8.6,-14.4,63.0,,33.0,9.0,101.63,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 20:00,2024,1,6,20:00,-8.6,-14.0,65.0,,35.0,9.0,101.63,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 21:00,2024,1,6,21:00,-9.3,-14.0,69.0,,1.0,4.0,101.61,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 22:00,2024,1,6,22:00,-9.7,-14.1,70.0,,1.0,5.0,101.65,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-06 23:00,2024,1,6,23:00,-9.7,-13.8,72.0,,1.0,4.0,101.61,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 00:00,2024,1,7,00:00,-9.6,-14.4,68.0,,36.0,4.0,101.57,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 01:00,2024,1,7,01:00,-9.7,-15.3,63.0,,36.0,3.0,101.59,-11.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 02:00,2024,1,7,02:00,-10.0,-15.1,67.0,,,0.0,101.57,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 03:00,2024,1,7,03:00,-9.9,-15.3,65.0,,,0.0,101.51,
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 04:00,2024,1,7,04:00,-9.4,-15.2,63.0,,5.0,4.0,101.32,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 05:00,2024,1,7,05:00,-9.8,-15.2,65.0,,5.0,6.0,101.13,-13.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 06:00,2024,1,7,06:00,-9.6,-14.2,69.0,,5.0,5.0,101.18,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 07:00,2024,1,7,07:00,-9.2,-13.6,71.0,,5.0,5.0,101.18,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 08:00,2024,1,7,08:00,-8.7,-12.6,73.0,,6.0,5.0,101.18,-11.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 09:00,2024,1,7,09:00,-8.0,-11.7,75.0,,6.0,7.0,101.07,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 10:00,2024,1,7,10:00,-7.0,-11.1,73.0,,7.0,11.0,100.94,-12.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 11:00,2024,1,7,11:00,-5.7,-10.8,67.0,,7.0,10.0,100.89,-10.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 12:00,2024,1,7,12:00,-5.2,-10.2,68.0,,8.0,16.0,100.63,-11.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 13:00,2024,1,7,13:00,-4.3,-9.9,65.0,,8.0,14.0,100.47,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 14:00,2024,1,7,14:00,-3.6,-9.3,64.0,,7.0,9.0,100.32,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 15:00,2024,1,7,15:00,-3.5,-9.3,64.0,,7.0,9.0,100.25,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 16:00,2024,1,7,16:00,-3.4,-9.2,64.0,,7.0,7.0,100.19,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 17:00,2024,1,7,17:00,-3.6,-8.2,70.0,,6.0,8.0,100.03,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 18:00,2024,1,7,18:00,-4.0,-8.2,73.0,,6.0,11.0,99.91,-8.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 19:00,2024,1,7,19:00,-4.5,-8.6,73.0,,6.0,13.0,99.81,-10.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 20:00,2024,1,7,20:00,-5.6,-8.0,84.0,,6.0,12.0,99.71,-11.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 21:00,2024,1,7,21:00,-5.7,-8.5,81.0,,6.0,12.0,99.61,-11.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-07 22:00,2024,1,7,22:00,-5.9,-8.6,81.0,,5.0,10.0,99.51,-10.0
